Transacao_ID;Cliente_Nome;Cliente_Email;Debito_Credito;Tipo_Transacao;Status;Tipo_Pagamento;Valor_Bruto;Valor_Desconto;Valor_Taxa;Valor_Liquido;Transportadora;Num_Envio;Data_Transacao;Data_Compensacao;Ref_Transacao;Parcelas;Codigo_Usuario;Codigo_Venda;Serial_Leitor;Recebimentos;Recebidos;Valor_Recebido;Valor_Tarifa_Intermediacao;Valor_Taxa_Intermediacao;Valor_Taxa_Parcelamento;Valor_Tarifa_Boleto;Bandeira_Cartao_Credito
AC776F2E-E613-4BD2-9969-C3DE8DE7CC00;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;3,8500;0,0000;0,0900;3,7600;;;31/10/2018 19:09:01;01/11/2018 00:00:00;;1;236115;195772;68918288;1;1;3,7600;0,0000;0,0900;0,0000;0,0000;;
30F684C2-3121-4497-9638-1A7B8C7737F1;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;15,8500;0,0000;0,3800;15,4700;;;31/10/2018 19:03:27;01/11/2018 00:00:00;;1;236115;192468;68918288;1;1;15,4700;0,0000;0,3800;0,0000;0,0000;;
B24BEAD6-89BD-4361-880C-53746C74BDF8;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;41,4000;0,0000;0,9900;40,4100;;;31/10/2018 18:58:52;01/11/2018 00:00:00;;1;236115;526331;68918288;1;1;40,4100;0,0000;0,9900;0,0000;0,0000;;
AE5638FB-B102-4C33-AB7A-374E2CC532F5;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;25,1000;0,0000;0,6000;24,5000;;;31/10/2018 18:48:04;01/11/2018 00:00:00;;1;236115;94102;68918288;1;1;24,5000;0,0000;0,6000;0,0000;0,0000;;
DD13E0CB-6D79-4E68-94AB-BB737AEF5434;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;18,0000;0,0000;0,4300;17,5700;;;31/10/2018 18:29:27;01/11/2018 00:00:00;;1;236115;255887;68918288;1;1;17,5700;0,0000;0,4300;0,0000;0,0000;;
E54F1FA1-76AF-4134-8C67-21CE74CA37F7;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;16,1500;0,0000;0,3900;15,7600;;;31/10/2018 17:54:16;01/11/2018 00:00:00;;1;236115;319972;68918288;1;1;15,7600;0,0000;0,3900;0,0000;0,0000;;
086A1DFC-1A12-472C-8B59-54C2894A2185;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;19,6000;0,0000;0,4700;19,1300;;;31/10/2018 17:38:38;01/11/2018 00:00:00;;1;236115;991271;68918288;1;1;19,1300;0,0000;0,4700;0,0000;0,0000;;
FDBC61EF-2A37-42A4-96F9-35E1A7257C1B;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;16,2200;0,0000;0,3900;15,8300;;;31/10/2018 17:34:28;01/11/2018 00:00:00;;1;236115;988718;68918288;1;1;15,8300;0,0000;0,3900;0,0000;0,0000;;
712F8676-5325-4008-8A30-2268F22F1901;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;38,2500;0,0000;0,9100;37,3400;;;31/10/2018 17:24:54;01/11/2018 00:00:00;;1;236115;476888;68918288;1;1;37,3400;0,0000;0,9100;0,0000;0,0000;;
956ECF7E-A3E0-4F9B-99D9-3AABBAFEEE06;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;89,7000;0,0000;2,8600;86,8400;;;31/10/2018 16:57:50;30/11/2018 00:00:00;;1;236115;287523;68918288;1;0;0,0000;0,0000;2,8600;0,0000;0,0000;Visa;
E6198E0A-4AAE-4BE5-AF17-1BC5894A3154;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;37,1000;0,0000;0,8900;36,2100;;;31/10/2018 16:47:29;01/11/2018 00:00:00;;1;236115;618436;68918288;1;1;36,2100;0,0000;0,8900;0,0000;0,0000;;
36319D03-2BFA-4323-AEF3-4E87678C4B17;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;69,6000;0,0000;2,2200;67,3800;;;31/10/2018 15:57:25;30/11/2018 00:00:00;;1;236115;255981;68918288;1;0;0,0000;0,0000;2,2200;0,0000;0,0000;Hipercard;
856E416D-AB86-4BEC-A61B-0496A2F60DCB;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;24,9300;0,0000;0,6000;24,3300;;;31/10/2018 15:47:34;01/11/2018 00:00:00;;1;236115;928655;68918288;1;1;24,3300;0,0000;0,6000;0,0000;0,0000;;
4BCC0576-654D-45FF-8220-FFDE68803A89;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;8,7500;0,0000;0,2800;8,4700;;;31/10/2018 15:08:13;30/11/2018 00:00:00;;1;236115;61999;68918288;1;0;0,0000;0,0000;0,2800;0,0000;0,0000;MasterCard;
2248764B-A0D0-4EF6-8367-68C3D31A65CE;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;23,3600;0,0000;0,5600;22,8000;;;31/10/2018 12:42:36;01/11/2018 00:00:00;;1;236115;141901;68918288;1;1;22,8000;0,0000;0,5600;0,0000;0,0000;;
775EE878-F557-4C08-9CA5-72D0AD8E1094;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;6,7500;0,0000;0,1600;6,5900;;;31/10/2018 12:26:59;01/11/2018 00:00:00;;1;236115;636102;68918288;1;1;6,5900;0,0000;0,1600;0,0000;0,0000;;
1D68FE22-2F97-4B2E-9680-19D4EDEE5D35;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;28,2300;0,0000;0,6700;27,5600;;;31/10/2018 12:07:35;01/11/2018 00:00:00;;1;236115;115832;68918288;1;1;27,5600;0,0000;0,6700;0,0000;0,0000;;
F0A61E22-9E08-41F2-B403-4516487FF909;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;16,5800;0,0000;0,4000;16,1800;;;31/10/2018 11:21:06;01/11/2018 00:00:00;;1;236115;525941;68918288;1;1;16,1800;0,0000;0,4000;0,0000;0,0000;;
F5690040-7283-4FCE-99A2-97263107656D;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;14,8000;0,0000;0,3500;14,4500;;;31/10/2018 11:13:05;01/11/2018 00:00:00;;1;236115;925629;68918288;1;1;14,4500;0,0000;0,3500;0,0000;0,0000;;
C4FFB348-03AF-4EAD-AFD1-45089D1E53BD;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;2,2500;0,0000;0,0500;2,2000;;;31/10/2018 10:04:05;01/11/2018 00:00:00;;1;236115;227346;68918288;1;1;2,2000;0,0000;0,0500;0,0000;0,0000;;
06F46CA0-A7C3-4B39-8BC1-3206C444081A;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;12,6700;0,0000;0,3000;12,3700;;;30/10/2018 19:15:19;31/10/2018 00:00:00;;1;236115;198750;68918288;1;1;12,3700;0,0000;0,3000;0,0000;0,0000;;
